Species_ID,Genus_ID,Model_ID,Family,Genus,Species,Common_Name,Group,Tribe,Native,PFG_Page,Sportfish,NonGame,Subsistence,Sensitivity,Rarity,Ubiquity,Extent,Tolerance,Robustness,Max_Age,Max_Length,Mean_Length,Mean_Weight,Girth_Index,WL_A,WL_B,Thinning,Thin_Adjustment,Estimated,Cave,Spring,Headwater,Creek,Small_River,Medium_River,Large_River,Lake_Impoundment,Swamp_Marsh,Coastal_Ocean,Riffles,Runs,Pools,Benthic,Surface,Nearshore_Littoral,OpenWater_Pelagic,Mud_Silt,Sand,Gravel,Rock_Rubble,Vegetation,Woody_Debris,Clear,Turbid,Warm,Cool,Cold,Lowlands,Uplands,Lower_Width,Upper_Width,Location_Notes,Habitat_Notes
808,137,-999,Salmonidae,Oncorhynchus,mykiss gilberti,Kern Rainbow Trout,Salmon and Trout,Salmon/Trout,Y,413,1,0,1,U,6,0,0,0,0,4,70,40,875.61,0.66,0.0213,2.88,0.55,0,0,XXX,-999,-999,A,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,A,-999,-999,-999,1,50,,
809,137,-999,Salmonidae,Oncorhynchus,mykiss irideus,Coastal Rainbow Trout,Salmon and Trout,Salmon/Trout,Y,411,1,0,1,U,3,0,0,0,0,4,90,40,875.61,0.66,0.0213,2.88,0.56,0,0,XXX,-999,A,A,A,A,A,A,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,A,-999,-999,0,10000,,
810,137,-999,Salmonidae,Oncorhynchus,mykiss kamloops,Kamloops Trout,Salmon and Trout,Salmon/Trout,Y,,1,0,1,U,6,0,0,0,0,4,90,40,875.61,0.66,0.0213,2.88,0.56,0,0,XXX,-999,A,A,A,A,A,A,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,A,-999,-999,0,10000,,
811,137,-999,Salmonidae,Oncorhynchus,mykiss newberrii,Great Basin Rainbow Trout,Salmon and Trout,Salmon/Trout,Y,412,1,0,1,U,3,0,0,0,0,4,80,40,875.61,0.66,0.0213,2.88,0.56,0,0,XXX,-999,A,A,A,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,R,-999,-999,-999,-999,-999,A,-999,-999,-999,0,25,,
812,137,-999,Salmonidae,Oncorhynchus,mykiss ssp.,Redband Trout,Salmon and Trout,Salmon/Trout,Y,,0,0,1,U,7,0,0,0,0,4,90,40,875.61,0.66,0.0213,2.88,0.56,0,0,XXX,-999,A,A,A,A,A,A,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,A,-999,-999,0,10000,,
813,137,-999,Salmonidae,Oncorhynchus,mykiss stonei,Sacramento Rainbow Trout,Salmon and Trout,Salmon/Trout,Y,413,1,0,1,U,3,0,0,0,0,4,50,25,226.18,0.66,0.0213,2.88,0.53,0,0,XXX,-999,-999,A,A,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,A,-999,-999,-999,1,50,,
814,137,-999,Salmonidae,Oncorhynchus,mykiss whitei,Little Kern Golden Trout,Salmon and Trout,Salmon/Trout,Y,,1,0,1,U,5,0,0,0,0,4,90,40,875.61,0.66,0.0213,2.88,0.56,0,0,XXX,-999,A,A,A,A,A,A,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,A,-999,-999,0,10000,,
815,137,-999,Salmonidae,Oncorhynchus,nerka,Sockeye Salmon,Salmon and Trout,Salmon/Trout,Y,400,1,0,1,U,3,0,0,0,0,9,85,35,603.25,0.67,0.01097,3.07,0.66,0,1,XXX,-999,-999,S,S,-999,-999,A,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,1,25,Rare south of Columbia River drainage,
816,137,385,Salmonidae,Oncorhynchus,tshawytscha,Chinook Salmon,Salmon and Trout,Salmon/Trout,Y,401,1,0,1,M,6,2.6,11.2,12.7,7.1,11,150,65,4035.07,0.67,0.01097,3.07,0.71,0,1,XXX,-999,-999,-999,S,S,S,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,5,10000,,
817,138,386,Cyprinidae,Opsopoeodus,emiliae,Pugnose Minnow,Minnow,Other Minnow,Y,249,0,1,0,S,4,3.1,16.3,4.2,5.8,3,6.5,3,0.13,0.22,0.00433,3.07,0.5,0,1,XXX,-999,-999,A,A,A,-999,A,A,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,-999,-999,A,-999,-999,-999,-999,-999,-999,A,-999,1,50,,
